CPRO;CMUN;DC;NOMBRE
47;220;1;Villanueva de los Caballeros
47;221;8;Villanueva de los Infantes
47;222;3;Villanueva de San Mancio
47;223;9;Villardefrades
47;224;4;Villarmentero de Esgueva
47;225;7;Villasexmir
47;226;0;Villavaquerín
47;227;6;Villavellid
47;228;2;Villaverde de Medina
47;229;5;Villavicencio de los Caballeros
47;194;0;Viloria
47;230;9;Wamba
47;231;6;Zaratán
47;232;1;Zarza, La
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
